X (cm),Y (cm),Dose
-1.3533834586466185,-1.7543859649122808,1.4163753648391849e-06
-1.253132832080201,-1.7543859649122808,1.9818217519294527e-06
-1.1528822055137837,-1.7543859649122808,2.48196010790281e-06
-1.05263157894737,-1.7543859649122808,2.781958003861951e-06
-0.9523809523809526,-1.7543859649122808,2.7910435494183656e-06
-0.8521303258145387,-1.7543859649122808,2.5069563483399863e-06
-0.7518796992481214,-1.7543859649122808,2.0169256221172595e-06
-0.651629072681704,-1.7543859649122808,1.4545265667248656e-06
-0.5513784461152902,-1.7543859649122808,9.412917934584139e-07
-0.4511278195488728,-1.7543859649122808,5.474691231649434e-07
-0.350877192982459,-1.7543859649122808,2.867967533646052e-07
-0.25062656641604164,-1.7543859649122808,1.3604081995132414e-07
-0.15037593984962427,-1.7543859649122808,6.017828947873838e-08
-0.05012531328321046,-1.7543859649122808,3.002930108362966e-08
0.05012531328320691,-1.7543859649122808,3.002930108362921e-08
0.15037593984962427,-1.7543859649122808,6.017828947873838e-08
0.2506265664160381,-1.7543859649122808,1.360408199513205e-07
0.35087719298245545,-1.7543859649122808,2.8679675336459784e-07
0.4511278195488728,-1.7543859649122808,5.474691231649434e-07
0.5513784461152866,-1.7543859649122808,9.412917934583975e-07
0.651629072681704,-1.7543859649122808,1.4545265667248654e-06
0.7518796992481178,-1.7543859649122808,2.016925622117242e-06
0.8521303258145352,-1.7543859649122808,2.506956348339969e-06
0.9523809523809526,-1.7543859649122808,2.7910435494183656e-06
1.0526315789473664,-1.7543859649122808,2.781958003861956e-06
1.1528822055137837,-1.7543859649122808,2.48196010790281e-06
1.2531328320801975,-1.7543859649122808,1.9818217519294734e-06
1.353383458646615,-1.7543859649122808,1.4163753648392048e-06
1.4536340852130323,-1.7543859649122808,9.061543577135098e-07
1.553884711779446,-1.7543859649122808,5.191045049636763e-07
1.6541353383458635,-1.7543859649122808,2.663937109315026e-07
1.7543859649122808,-1.7543859649122808,1.225453552558955e-07
1.8546365914786946,-1.7543859649122808,5.058364784926883e-08
1.954887218045112,-1.7543859649122808,1.876416601742807e-08
2.0551378446115294,-1.7543859649122808,6.270037483153249e-09
2.155388471177943,-1.7543859649122808,1.893995528880501e-09
2.2556390977443606,-1.7543859649122808,5.199702934908431e-10
2.3558897243107744,-1.7543859649122808,1.3075469607685595e-10
-2.4561403508771953,-1.654135338345867,1.5286764334781203e-10
-2.355889724310778,-1.654135338345867,6.576459577395763e-10
-2.2556390977443606,-1.654135338345867,2.618447136278803e-09
-2.1553884711779467,-1.654135338345867,9.54610137714846e-09
-2.0551378446115294,-1.654135338345867,3.162186396396543e-08
-1.9548872180451156,-1.654135338345867,9.467534205711792e-08
-1.8546365914786982,-1.654135338345867,2.5530071953079354e-07
-1.7543859649122808,-1.654135338345867,6.186344418825594e-07
-1.654135338345867,-1.654135338345867,1.3450224518456526e-06
-1.5538847117794496,-1.654135338345867,2.621260016695198e-06
-1.4536340852130323,-1.654135338345867,4.576096686863615e-06
-1.3533834586466185,-1.654135338345867,7.153251832427561e-06
-1.253132832080201,-1.654135338345867,1.0009799499790002e-05
-1.1528822055137837,-1.654135338345867,1.2537499263403152e-05
-1.05263157894737,-1.654135338345867,1.40563655457128e-05
-0.9523809523809526,-1.654135338345867,1.4109318481827123e-05
-0.8521303258145387,-1.654135338345867,1.2685901082942812e-05
-0.7518796992481214,-1.654135338345867,1.0225835064288981e-05
-0.651629072681704,-1.654135338345867,7.400211630475892e-06
-0.5513784461152902,-1.654135338345867,4.817590768554974e-06
-0.4511278195488728,-1.654135338345867,2.828749528621687e-06
-0.350877192982459,-1.654135338345867,1.5030656827228658e-06
-0.25062656641604164,-1.654135338345867,7.273741756791707e-07
-0.15037593984962427,-1.654135338345867,3.3069124105604495e-07
-0.05012531328321046,-1.654135338345867,1.7044556510300818e-07
0.05012531328320691,-1.654135338345867,1.704455651030055e-07
0.15037593984962427,-1.654135338345867,3.30691241056045e-07
0.2506265664160381,-1.654135338345867,7.273741756791505e-07
0.35087719298245545,-1.654135338345867,1.5030656827228281e-06
0.4511278195488728,-1.654135338345867,2.828749528621687e-06
0.5513784461152866,-1.654135338345867,4.817590768554892e-06
0.651629072681704,-1.654135338345867,7.400211630475892e-06
0.7518796992481178,-1.654135338345867,1.0225835064288891e-05
0.8521303258145352,-1.654135338345867,1.2685901082942726e-05
0.9523809523809526,-1.654135338345867,1.4109318481827121e-05
1.0526315789473664,-1.654135338345867,1.4056365545712825e-05
1.1528822055137837,-1.654135338345867,1.2537499263403152e-05
1.2531328320801975,-1.654135338345867,1.0009799499790106e-05
1.353383458646615,-1.654135338345867,7.1532518324276605e-06
1.4536340852130323,-1.654135338345867,4.5760966868636155e-06
1.553884711779446,-1.654135338345867,2.621260016695253e-06
1.6541353383458635,-1.654135338345867,1.3450224518456856e-06
1.7543859649122808,-1.654135338345867,6.186344418825594e-07
1.8546365914786946,-1.654135338345867,2.55300719530802e-07
